,Unnamed: 0,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd.pledged,campaign_duration
1668,1669,580699801,The Mon Valley Summer Arts & Music fest,Mixed Media,Art,USD,2014-05-02 00:00:00,10000.0,2014-04-02 22:33:00,0.0,failed,0.0,US,0.0,29
1669,1670,676477328,Z-Utopia,Video Games,Games,GBP,2015-01-08 00:00:00,5000.0,2014-12-09 18:53:00,591.0,failed,6.0,GB,921.43,29
1670,1671,1984248049,Imagining Shakespeare,Art Books,Publishing,USD,2009-12-15 00:00:00,15000.0,2009-09-17 02:02:00,15125.0,successful,226.0,US,15125.0,88
1671,1672,1002646104,The Book Of Bare Bones 2,Illustration,Art,GBP,2016-09-30 00:00:00,1000.0,2016-08-04 21:00:00,2552.0,successful,141.0,GB,1251.3,56
1672,1673,69677131,"Buffalo Project | support to print the ""Cosmic Buffalo""",Art,Art,USD,2015-07-24 00:00:00,700.0,2015-06-24 01:39:00,260.0,failed,10.0,US,260.0,29
1673,1674,511576611,Writing My Breakthrough Novel,Fiction,Publishing,USD,2015-07-14 00:00:00,1000.0,2015-06-14 21:33:00,0.0,failed,0.0,US,0.0,29
1674,1675,2116104307,Drawings and Arts,Illustration,Art,USD,2015-05-15 00:00:00,500.0,2015-04-15 09:44:00,3713.0,successful,263.0,US,3713.0,29
1675,1676,1000291122,VOTE (anyone but) TRUMP Candle,Product Design,Design,GBP,2016-08-24 00:00:00,500.0,2016-07-12 17:31:00,218.0,failed,6.0,GB,174.83,42
1676,1677,1575409790,Polk Outdoor Theatre,Theater,Theater,USD,2014-05-31 00:00:00,15000.0,2014-04-11 04:59:00,120.0,failed,3.0,US,120.0,49
1677,1678,1969938268,"You pick where we eat, we RV and write hospitality blog.",Restaurants,Food,USD,2017-07-12 00:00:00,50000.0,2017-06-12 08:26:00,22.0,canceled,1.0,US,22.0,29
1678,1679,1747725589,Brickworld Chicago 2014 LEGO Convention DVD,Film & Video,Film & Video,USD,2014-06-16 00:00:00,1000.0,2014-05-17 05:06:00,3506.0,successful,66.0,US,3506.0,29
1679,1680,244156469,Grand Slam,Product Design,Design,USD,2015-11-17 00:00:00,4500.0,2015-10-08 19:51:00,146.0,failed,5.0,US,146.0,39
1680,1681,940284236,Genet Quarterly Inspirationals -- Launch Issue 'Geometry',Periodicals,Publishing,USD,2012-06-15 00:00:00,16000.0,2012-05-11 14:28:00,2420.0,failed,29.0,US,2420.0,34
1681,1682,1819438600,The Ask Little Chicken Show,Graphic Design,Design,USD,2017-04-01 00:00:00,3000.0,2017-03-02 18:35:00,155.0,failed,2.0,US,0.0,29
1682,1683,303232313,A True Crime Pin Capsule by Jini & Tonic,Accessories,Fashion,USD,2018-01-20 00:00:00,1000.0,2017-12-11 18:15:00,426.0,live,21.0,US,179.0,39
1683,1684,1774424016,Leadseed,Web,Technology,USD,2014-08-19 00:00:00,2500.0,2014-06-20 19:31:00,0.0,failed,0.0,US,0.0,59
1684,1685,726991691,Zombie with a Shotgun (Canceled),Horror,Film & Video,USD,2016-05-28 00:00:00,50000.0,2016-03-29 04:33:00,19505.0,canceled,204.0,US,19505.0,59
1685,1686,1523005907,Creating a free community forest school camp for children,Crafts,Crafts,GBP,2016-06-08 00:00:00,150000.0,2016-04-09 04:58:00,22.0,failed,6.0,GB,31.06,59
1686,1687,2117697423,Unititled Mob Script,Fiction,Publishing,USD,2015-09-01 00:00:00,75000.0,2015-08-12 17:20:00,0.0,failed,0.0,US,0.0,19
1687,1688,1155727027,Little Steps- Berta Moreno's Debut Album,Jazz,Music,USD,2016-11-23 00:00:00,12000.0,2016-10-21 05:31:00,12230.0,successful,232.0,US,370.0,32
1688,1689,1980706537,Lucky Charms - Handmade Crochet Plush for Good Luck,Crochet,Crafts,AUD,2016-06-08 00:00:00,150.0,2016-05-09 03:40:00,177.0,successful,11.0,AU,130.4,29
1689,1690,1797221473,"Wax Cylinder halloween! ""Welcome To My Nightmare""",Indie Rock,Music,USD,2011-10-26 00:00:00,666.0,2011-10-12 11:44:00,1036.0,successful,12.0,US,1036.0,13
1690,1691,1553742834,Team Techno Greeks Enters FLL Robotics Competition,Technology,Technology,USD,2013-09-30 00:00:00,3000.0,2013-08-31 00:20:00,3076.0,successful,43.0,US,3076.0,29
